"species" "image_url" "alt_url"
"Aegires citrinus" "https://inaturalist-open-data.s3.amazonaws.com/photos/347891757/original.jpg" "images/placeholders/molluscs.webp"
"Aegla abtao" "https://inaturalist-open-data.s3.amazonaws.com/photos/177740148/original.jpeg" "images/placeholders/crustaceans.webp"
"Aegla humahuaca" "" "images/placeholders/crustaceans.webp"
"Aegla jarai" "https://inaturalist-open-data.s3.amazonaws.com/photos/201979747/original.jpeg" "images/placeholders/crustaceans.webp"
"Aegla platensis" "https://inaturalist-open-data.s3.amazonaws.com/photos/344849272/original.jpg" "images/placeholders/crustaceans.webp"
"Aegla scamosa" "" "images/placeholders/crustaceans.webp"
"Aeolidiella alba" "https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=0b1fbeeb-d27e-4a3b-8c2e-17eab047ab15" "images/placeholders/molluscs.webp"
"Aequorea australis" "https://data.nhm.ac.uk/media/9f267681-bcc3-4bc6-ba8f-45dabc8b41dd" "images/placeholders/jelly.webp"
"Aequorea conica" "https://data.nhm.ac.uk/media/82c1e9f4-cfd5-4808-a88f-7df0a52caeee" "images/placeholders/jelly.webp"
"Aethaloperca rogaa" "https://inaturalist-open-data.s3.amazonaws.com/photos/346817803/original.jpeg" "images/placeholders/fishes.webp"
"Aetobatus narinari" "images/gallery/aetobatus_narinari.webp" "images/placeholders/fishes.webp"
"Aetobatus ocellatus" "https://inaturalist-open-data.s3.amazonaws.com/photos/344193784/original.jpg" "images/placeholders/fishes.webp"
"Aetomylaeus bovinus" "https://inaturalist-open-data.s3.amazonaws.com/photos/346351963/original.jpeg" "images/placeholders/fishes.webp"
"Afrocucumis africana" "https://inaturalist-open-data.s3.amazonaws.com/photos/351251757/original.jpeg" "images/placeholders/urchins.webp"
"Afrolittorina africana" "https://inaturalist-open-data.s3.amazonaws.com/photos/352967622/original.jpeg" "images/placeholders/molluscs.webp"
"Agalma elegans" "https://inaturalist-open-data.s3.amazonaws.com/photos/346017610/original.jpg" "images/placeholders/jelly.webp"
"Agalma okenii" "https://inaturalist-open-data.s3.amazonaws.com/photos/320548712/original.jpg" "images/placeholders/jelly.webp"
"Agaricia agaricites" "https://inaturalist-open-data.s3.amazonaws.com/photos/343978027/original.jpeg" "images/placeholders/jelly.webp"
"Agarophyton vermiculophyllum" "https://raw.githubusercontent.com/BedeFfinian/benthic-intertidal-vegetation/main/Quadrats/Quadrat_140622_A008_4.JPG" "images/placeholders/algae.webp"
"Agassizia scrobiculata" "https://inaturalist-open-data.s3.amazonaws.com/photos/252823798/original.jpg" "images/placeholders/urchins.webp"
"Agelas clathrodes" "https://inaturalist-open-data.s3.amazonaws.com/photos/348273765/original.jpeg" "images/placeholders/general.webp"
