"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
275756;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Labridae";"Halichoeres"
287158;"Animalia";"Cnidaria";"Scyphozoa";"Coronatae";"Nausithoidae";"Nausithoe"
106826;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Solenoceridae";"Solenocera"
273286;"Animalia";"Chordata";"Teleostei";"Carangiformes";"Carangidae";"Selene"
494947;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Ceramiaceae";"Antithamnion"
411138;"Animalia";"Cnidaria";"Hexacorallia";"Ceriantharia";"Arachnactidae";"Isarachnanthus"
575247;"Animalia";"Mollusca";"Gastropoda";"Cycloneritida";"Neritidae";"Nerita"
280620;"Animalia";"Chordata";"Teleostei";"Gobiiformes";"Gobiidae";"Elacatinus"
125626;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Congridae";"Heteroconger"
280973;"Animalia";"Chordata";"Teleostei";"Eupercaria incertae sedis";"Haemulidae";"Haemulopsis"
205546;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Blenniidae";"Plagiotremus"
125595;"Animalia";"Chordata";"Teleostei";"Perciformes";"Scorpaenidae";NA
157875;"Animalia";"Chordata";"Teleostei";"Elopiformes";"Elopidae";"Elops"
368890;"Plantae";"Rhodophyta";"Stylonematophyceae";"Stylonematales";"Stylonemataceae";NA
196111;"Animalia";"Chordata";NA;"Squamata";"Scincidae";NA
280518;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Labrisomidae";"Dialommus"
565475;"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Strombidae";"Persististrombus"
103427;"Protozoa";"Sulcozoa";"Apusomonadea";"Apusomonadida";"Apusomonadidae";"Thecamonas"
277636;"Animalia";"Chordata";"Teleostei";"Gobiiformes";"Gobiidae";"Bathygobius"
731943;"Animalia";"Echinodermata";"Holothuroidea";"Holothuriida";"Holothuriidae";NA
367489;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Diogenidae";"Clibanarius"
